Illumina V2 ID,Affy 220K ID
ESTV_18722_351,AX-86918352
ESTNV_34098_444,AX-87353380
ESTNV_35056_1228,AX-87576459
ESTNV_35703_1700,AX-87174867
ESTNV_32977_454,AX-87003018
ESTV_13701_302,AX-86925766
GCR_cBin26921_Ctg1_184,AX-87713362
GCR_cBin23367_Ctg1_256,AX-87338922
GCR_cBin13771_Ctg1_86,AX-87844063
ESTNV_19560_73,AX-87608964
ESTNV_29441_997,AX-87662482
GCR_cBin37713_Ctg1_64,AX-87263564
GCR_cBin15290_Ctg1_216,AX-87541803
ESTNV_36856_820,AX-86927249
ESTNV_36261_377,AX-87215649
GCR_cBin31719_Ctg1_177,AX-87372546
ESTNV_23587_307,AX-87466729
ESTNV_26979_270,AX-87083145
ESTV_16209_1298,AX-87734662
ESTNV_33582_567,AX-87248733
ESTNV_34639_1192,AX-87031004
GCR_cBin31072_Ctg1_110,AX-87012539
GCR_cBin4719_Ctg1_145,AX-87401557
GCR_cBin48593_Ctg1_152,AX-87270307
ESTV_15552_134,AX-87709959
ESTNV_30982_888,AX-87129148
ESTNV_36451_899,AX-87668818
GCR_cBin315_Ctg1_207,AX-87273437
ESTNV_29081_545,AX-87574052
ESTV_16750_284,AX-87106077
ESTNV_35635_2078,AX-87295129
ESTV_16609_285,AX-87561735
GCR_cBin207_Ctg1_149,AX-87467805
GCR_cBin38737_Ctg1_101,AX-87686702
ESTNV_30759_457,AX-87824030
GCR_cBin6348_Ctg1_174,AX-87454921
ESTV_15338_328,AX-87258463
GCR_cBin22498_Ctg1_205,AX-86979027
GCR_cBin10594_Ctg1_335,AX-87616438
ESTNV_29730_82,AX-87778398
GCR_cBin2569_Ctg1_94,AX-87351294
ESTNV_31296_412,AX-87720059
ESTNV_23515_266,AX-87739375
ESTNV_33760_518,AX-87780050
ESTV_15535_270,AX-86925619
ESTNV_37021_1083,AX-87456348
ESTNV_28515_410,AX-87080340
ESTNV_35783_1291,AX-87171253
ESTNV_24215_410,AX-87249956
ESTNV_34705_609,AX-87072640
GCR_cBin10593_Ctg2_237,AX-87642028
GCR_cBin30120_Ctg1_338,AX-87712723
ESTNV_35032_331,AX-87254652
ESTNV_35743_203,AX-87593817
GCR_hBin17480_Ctg1_143,AX-87160459
BASS136_B7_E01_171,AX-87729719
GCR_cBin4844_Ctg1_156,AX-87109236
ESTV_15829_126,AX-87281001
ESTV_17428_1391,AX-87700197
ESTNV_31081_339,AX-87105346
GCR_cBin30866_Ctg1_113,AX-87679335
ESTNV_37052_1616,AX-87327431
ESTNV_17600_78,AX-87049680
ESTNV_20306_378,AX-87063260
ESTNV_37212_420,AX-87355944
GCR_cBin5000_Ctg1_169,AX-87641479
ESTV_15107_389,AX-87380261
GCR_cBin51715_Ctg1_128,AX-87486050
ESTNV_26125_188,AX-87023103
GCR_cBin3012_Ctg1_287,AX-87686903
GCR_cBin10148_Ctg1_91,AX-87447730
ESTNV_34845_1222,AX-87221016
ESTV_17048_1567,AX-87246495
GCR_cBin47481_Ctg1_169,AX-87736458
GCR_cBin15806_Ctg1_105,AX-87230027
GCR_cBin42700_Ctg1_224,AX-87735164
ESTNV_30653_603,AX-87539740
ESTNV_36810_65,AX-86934142
ESTNV_36884_1050,AX-87069407
GCR_cBin7865_Ctg1_127,AX-87349858
ESTV_21424_525,AX-87721965
ESTNV_32034_123,AX-87813845
ESTNV_37208_1240,AX-86988616
GCR_cBin24432_Ctg1_186,AX-87053989
ESTNV_33639_296,AX-87198521
ESTNV_37136_732,AX-87507144
ESTNV_27437_1281,AX-87091212
ESTNV_34052_677,AX-87658580
ESTNV_35766_1019,AX-87543252
ESTNV_31160_400,AX-86947467
GCR_cBin9835_Ctg1_140,AX-87806235
ESTNV_33349_194,AX-87120365
ESTNV_34857_796,AX-87670142
ESTNV_34857_1369,AX-86993957
GCR_cBin48498_Ctg1_186,AX-87308019
GCR_cBin52311_Ctg1_195,AX-87734007
GCR_cBin3322_Ctg1_167,AX-87239557
ESTV_13593_258,AX-87353369
ESTNV_34937_1396,AX-86910329
ESTNV_37023_1931,AX-87300599
GCR_cBin38713_Ctg1_95,AX-87584502
GCR_cBin1445_Ctg1_135,AX-87111003
GCR_cBin43112_Ctg1_86,AX-86998091
GCR_cBin34_Ctg1_596,AX-87754149
ESTV_16115_361,AX-87516414
GCR_cBin15410_Ctg1_212,AX-87574047
ESTNV_29161_372,AX-87632793
ESTNV_33045_743,AX-87035281
GCR_cBin15008_Ctg1_153,AX-87153169
ESTNV_35486_385,AX-87720075
ESTV_14645_361,AX-87033977
ESTNV_35525_1387,AX-87129138
ESTNV_37630_870,AX-87393458
ESTV_14834_524,AX-87021269
ESTNV_30088_559,AX-87768985
ESTNV_29391_150,AX-87220332
ESTNV_36272_103,AX-87629003
ESTNV_34947_1545,AX-87523620
ESTV_16589_223,AX-87457131
GCR_cBin32793_Ctg1_96,AX-87695425
GCR_cBin4443_Ctg1_107,AX-87032027
ESTNV_36054_822,AX-87228212
ESTNV_17881_371,AX-87187541
ESTNV_24568_291,AX-87802617
ESTV_13137_137,AX-86914368
ESTNV_36281_1295,AX-86955470
ESTNV_36281_727,AX-87362947
ESTNV_33065_574,AX-87420466
ESTNV_33065_318,AX-87788510
GCR_cBin50992_Ctg1_110,AX-87021652
GCR_cBin6278_Ctg1_677,AX-87828620
GCR_cBin6278_Ctg1_559,AX-87703594
GCR_cBin8987_Ctg1_180,AX-87658457
ESTNV_36338_885,AX-87780590
ESTV_21638_333,AX-87794148
GCR_cBin3528_Ctg1_588,AX-87537191
ESTNV_36684_826,AX-87272137
ESTNV_17527_71,AX-87290063
ESTNV_27081_431,AX-87258508
GCR_cBin27054_Ctg1_106,AX-87583670
ESTV_16611_475,AX-87826454
GCR_cBin41869_Ctg1_110,AX-87844286
GCR_hBin29120_Ctg1_93,AX-86919516
GCR_cBin24433_Ctg1_129,AX-87840915
ESTNV_29209_456,AX-87191290
ESTNV_29209_356,AX-87351169
GCR_cBin38428_Ctg1_72,AX-86933102
GCR_cBin4421_Ctg1_345,AX-87134926
MHC_IA_42900-43010,AX-87626623
GCR_cBin43468_Ctg1_75,AX-87019778
ESTNV_32773_510,AX-87694690
GCR_cBin12480_Ctg1_223,AX-87640773
ESTNV_32528_634,AX-87038651
ESTNV_32528_736,AX-87177652
GCR_cBin987_Ctg1_95,AX-87544528
ESTNV_23454_358,AX-87610774
ESTNV_20667_551,AX-87541020
GCR_cBin29928_Ctg1_684,AX-87794580
GCR_cBin6161_Ctg1_202,AX-86988373
ESTNV_32416_1598,AX-87640321
GCR_cBin8366_Ctg1_115,AX-86917606
GCR_cBin2379_Ctg1_66,AX-87816914
ESTNV_33875_378,AX-87316236
GCR_hBin35252_Ctg1_84,AX-86910308
MHC_IA_33360-33530,AX-87615730
ESTNV_35759_1059,AX-87699067
GCR_cBin4852_Ctg1_303,AX-86933968
ESTNV_36751_1595,AX-87535061
GCR_cBin40_Ctg1_186,AX-87168423
ESTNV_34237_82,AX-86993023
GCR_cBin5429_Ctg1_425,AX-87025926
ESTNV_25780_520,AX-87686412
GCR_cBin26649_Ctg1_37,AX-86968242
ESTV_15903_384,AX-87136010
ESTV_13981_575,AX-86918351
ESTNV_31286_1095,AX-87677632
ESTNV_35637_1799,AX-87005255
GCR_cBin15162_Ctg1_205,AX-87769505
ESTNV_33535_713,AX-87136440
ESTV_21255_1156,AX-87536970
BASS120_B7_E04_590,AX-87365629
GCR_cBin1314_Ctg1_137,AX-87178624
GCR_cBin19265_Ctg1_314,AX-87466024
ESTNV_33534_1665,AX-87764225
GCR_cBin36819_Ctg1_131,AX-87522184
GCR_cBin36819_Ctg1_430,AX-87524513
ESTNV_29346_496,AX-87788138
ESTNV_19195_134,AX-87662086
ESTV_19896_527,AX-87664858
GCR_cBin30450_Ctg1_138,AX-87779332
GCR_cBin26381_Ctg1_159,AX-87517196
ESTNV_17647_210,AX-86990192
GCR_hBin19876_Ctg1_234,AX-86938461
ESTNV_37049_1001,AX-87533853
GCR_cBin285_Ctg1_71,AX-87448359
ESTNV_33721_1961,AX-87138959
GCR_cBin13871_Ctg1_192,AX-87339940
GCR_cBin13871_Ctg1_110,AX-87595392
GCR_cBin21671_Ctg1_129,AX-86927864
ESTNV_35672_515,AX-87130773
ESTNV_31685_748,AX-87271885
ESTV_14174_149,AX-87676140
GCR_cBin15283_Ctg1_92,AX-87152059
ESTNV_36029_386,AX-87146859
ESTV_13635_227,AX-87032339
GCR_cBin37571_Ctg1_142,AX-87405450
GCR_cBin8054_Ctg1_165,AX-87657324
GCR_cBin12896_Ctg1_82,AX-87737730
GCR_hBin39488_Ctg1_115,AX-87800012
ESTV_14201_395,AX-87595360
ESTNV_29605_170,AX-87506925
ESTNV_31577_1204,AX-86905307
ESTNV_37167_1886,AX-86949207
ESTV_13158_145,AX-87384527
ESTNV_33832_1008,AX-87087120
ESTNV_34251_1165,AX-87815712
ESTNV_32501_1042,AX-87798105
GCR_cBin4409_Ctg1_62,AX-86911853
GCR_cBin11531_Ctg1_130,AX-87216193
ESTNV_34157_716,AX-87056988
ESTNV_34235_1553,AX-87158831
GCR_cBin320_Ctg1_314,AX-87063919
ESTV_17081_268,AX-87763526
GCR_cBin50045_Ctg1_188,AX-87821980
GCR_cBin5063_Ctg1_330,AX-87212625
ESTNV_28144_328,AX-87619199
GCR_cBin12808_Ctg1_224,AX-87731164
ESTNV_34256_1283,AX-87441478
ESTNV_37066_1553,AX-87056076
GCR_cBin20862_Ctg1_600,AX-86950052
GCR_cBin27539_Ctg1_130,AX-87173192
ESTNV_35041_801,AX-87613039
ESTV_14673_494,AX-87858111
GCR_cBin1279_Ctg1_134,AX-87116208
GCR_cBin44901_Ctg1_183,AX-86978825
ESTNV_34168_1263,AX-87338749
ESTNV_16237_331,AX-87808364
GCR_cBin41287_Ctg1_59,AX-87470476
ESTNV_34508_857,AX-87704092
GCR_cBin22089_Ctg1_626,AX-87621917
GCR_cBin29826_Ctg1_167,AX-86964035
GCR_cBin45926_Ctg1_48,AX-86978620
ESTV_16140_475,AX-87837859
GCR_cBin16567_Ctg1_142,AX-87426390
BASS13_B7_D12_578,AX-87314003
GCR_cBin46220_Ctg1_123,AX-87321825
ESTNV_35495_1382,AX-87495011
GCR_cBin28129_Ctg1_120,AX-87199535
GCR_cBin16401_Ctg1_326,AX-87464130
ESTV_16941_298,AX-86952334
ESTNV_34290_182,AX-87076088
GCR_cBin14082_Ctg1_110,AX-87337832
GCR_hBin7576_Ctg1_138,AX-87342094
GCR_cBin45262_Ctg1_91,AX-87237220
GCR_cBin20771_Ctg1_93,AX-87065107
GCR_cBin27304_Ctg1_150,AX-87851356
GCR_cBin27304_Ctg1_137,AX-87281484
ESTNV_23683_596,AX-87515483
ESTNV_35155_615,AX-87109510
GCR_cBin10617_Ctg1_91,AX-87491900
GCR_cBin14744_Ctg1_515,AX-87034612
ESTNV_31378_62,AX-87337384
GCR_cBin47088_Ctg1_148,AX-87702459
ESTNV_33679_188,AX-87495204
GCR_cBin28606_Ctg1_136,AX-87381337
ESTNV_20141_141,AX-87228189
GCR_cBin49919_Ctg1_51,AX-87128402
ESTNV_13419_468,AX-87787677
ESTV_19144_114,AX-87131935
ESTNV_37141_123,AX-87013635
GCR_cBin5888_Ctg1_267,AX-86987045
ESTNV_34387_58,AX-87378195
ESTNV_27361_94,AX-87468955
ESTNV_30942_448,AX-87295113
ESTNV_14029_486,AX-87138177
ESTV_21816_1279,AX-87088553
GCR_hBin3043_Ctg1_167,AX-87524130
ESTNV_33761_306,AX-87075566
BASS14_B7_A02_640,AX-87460196
ESTNV_35046_681,AX-87146475
ESTNV_35046_434,AX-87560520
ESTNV_26532_660,AX-87226783
ESTNV_36871_194,AX-87078153
ESTNV_36871_663,AX-87613969
ESTNV_27729_435,AX-87385954
GCR_cBin25229_Ctg2_105,AX-87731630
ESTNV_28059_635,AX-87513855
ESTV_16559_546,AX-87821580
GCR_cBin38742_Ctg1_196,AX-87404183
GCR_cBin28622_Ctg1_77,AX-87539570
GCR_cBin24042_Ctg1_126,AX-87556679
ESTNV_37038_101,AX-87212345
GCR_cBin38422_Ctg1_236,AX-87558424
ESTNV_36056_890,AX-87734594
GCR_hBin33739_Ctg1_141,AX-87481440
ESTNV_21223_122,AX-87039847
ESTNV_36246_1265,AX-87352314
ESTV_21922_834,AX-87331998
GCR_cBin9243_Ctg1_127,AX-87468953
GCR_cBin2683_Ctg1_480,AX-87357478
ESTNV_27467_282,AX-87285730
GCR_cBin22326_Ctg1_100,AX-87331408
GCR_cBin4191_Ctg1_77,AX-87018705
GCR_cBin15029_Ctg1_236,AX-87798129
ESTNV_31893_226,AX-87040549
ESTNV_31893_467,AX-87250897
ESTNV_33390_1703,AX-86921380
ESTNV_36276_161,AX-87760946
ESTNV_35487_1438,AX-87368986
ESTV_14686_263,AX-87270385
ESTV_14686_659,AX-87774428
GCR_cBin19870_Ctg1_187,AX-87837148
GCR_cBin45827_Ctg1_60,AX-87522668
GCR_cBin25134_Ctg1_192,AX-87299004
GCR_cBin34191_Ctg1_127,AX-86974669
ESTNV_30702_1688,AX-87093747
GCR_cBin17788_Ctg1_64,AX-87843975
GCR_cBin32565_Ctg1_59,AX-87649300
ESTNV_31107_540,AX-87819797
GCR_cBin4967_Ctg1_398,AX-87392129
ESTNV_28985_758,AX-87241832
ESTNV_27242_211,AX-87469747
ESTNV_29167_345,AX-87860925
ESTNV_32598_466,AX-86905570
GCR_cBin27837_Ctg1_84,AX-87154141
BASS18_B7_C05_746,AX-87528475
GCR_cBin43089_Ctg1_78,AX-87428353
ESTNV_34955_1039,AX-87079876
GCR_cBin14283_Ctg1_117,AX-87072538
ESTV_15043_1033,AX-87824587
ESTNV_34935_1675,AX-87590303
ESTNV_28052_855,AX-87807690
ESTNV_28052_478,AX-87549700
ESTV_15118_153,AX-87752325
ESTNV_34839_90,AX-87125046
ESTV_17321_691,AX-87386422
GCR_cBin4086_Ctg1_95,AX-87804783
ESTV_14782_767,AX-87753840
ESTNV_33508_561,AX-87633988
ESTNV_30736_463,AX-86998813
ESTNV_30291_631,AX-87570870
GCR_cBin17883_Ctg1_169,AX-87085573
GCR_cBin25344_Ctg1_245,AX-86996146
GCR_cBin6462_Ctg1_186,AX-87643369
GCR_cBin6513_Ctg1_112,AX-87047928
ESTNV_35240_267,AX-87610924
GCR_cBin8434_Ctg1_134,AX-87337193
ESTV_16661_422,AX-87714851
GCR_cBin43868_Ctg1_581,AX-87140879
ESTNV_35271_1145,AX-87117837
ESTNV_23296_180,AX-87027643
ESTNV_26008_459,AX-87770110
ESTV_14649_80,AX-87400380
ESTNV_25113_1234,AX-87410092
ESTNV_33492_254,AX-87670966
GCR_cBin7756_Ctg1_139,AX-87448668
GCR_cBin1478_Ctg1_224,AX-87284805
ESTNV_34588_433,AX-87439175
ESTNV_30464_1225,AX-87426039
BASS133_B7_H09_510,AX-87511676
GCR_cBin25670_Ctg1_106,AX-87345096
ESTNV_36652_1699,AX-87615584
GCR_cBin744_Ctg1_372,AX-86945378
ESTNV_36844_1704,AX-87717336
ESTNV_36745_1460,AX-87784726
ESTNV_17246_90,AX-87677912
BASS112_B7_A12_127,AX-87715473
BASS112_B7_A12_395,AX-87810138
GCR_cBin11377_Ctg1_140,AX-87066334
GCR_cBin33029_Ctg1_110,AX-87621581
ESTV_14073_165,AX-87565732
ESTNV_34296_693,AX-87113683
GCR_cBin39479_Ctg1_101,AX-87228639
ESTV_15158_275,AX-87566961
ESTV_16731_596,AX-87191304
ESTV_10850_97,AX-87767108
GCR_cBin9845_Ctg1_443,AX-87504845
GCR_cBin27319_Ctg1_200,AX-86972174
GCR_cBin1280_Ctg1_527,AX-86953933
GCR_cBin6719_Ctg1_142,AX-87229818
GCR_cBin49843_Ctg1_107,AX-87055107
GCR_cBin8429_Ctg1_160,AX-87564191
ESTNV_25443_600,AX-87025954
GCR_cBin13688_Ctg1_129,AX-87668119
GCR_cBin3846_Ctg1_160,AX-87455180
GCR_cBin5951_Ctg1_108,AX-87122511
GCR_cBin4477_Ctg1_56,AX-87816979
ESTNV_35816_1150,AX-87718993
ESTNV_33891_846,AX-87687566
AY388592_a,AX-87618765
GCR_cBin4889_Ctg1_182,AX-86999042
ESTNV_22661_681,AX-87867255
ESTNV_31345_960,AX-87350565
GCR_cBin20874_Ctg1_187,AX-87674943
ESTNV_22395_848,AX-87465161
ESTNV_13012_403,AX-87025474
ESTNV_13422_298,AX-86958842
GCR_cBin35113_Ctg1_165,AX-87153883
BASS124_B7_E08_606,AX-87175338
GCR_cBin38774_Ctg1_204,AX-87598126
ESTV_16112_244,AX-87111320
ESTNV_29084_190,AX-87179564
GCR_cBin33101_Ctg1_327,AX-87819475
GCR_cBin37707_Ctg1_102,AX-87590304
ESTV_14503_197,AX-87697997
GCR_cBin1696_Ctg1_77,AX-87858999
ESTNV_18093_348,AX-87419446
ESTNV_19627_365,AX-87866773
GCR_cBin39915_Ctg1_140,AX-87581089
ESTNV_13028_299,AX-87049486
ESTNV_14000_405,AX-87077364
ESTNV_28937_387,AX-87539155
ESTV_12974_407,AX-87252035
GCR_cBin29936_Ctg1_299,AX-87455016
ESTNV_27414_224,AX-87320442
GCR_cBin3741_Ctg1_126,AX-87592242
ESTNV_35762_168,AX-87196107
ESTNV_32253_402,AX-87134753
BASS114_B7_B09_196,AX-87751891
BASS114_B7_B09_399,AX-87633229
ESTNV_36436_2251,AX-87597367
ESTNV_36436_2021,AX-87650002
ESTNV_28929_421,AX-86972579
ESTNV_33513_1102,AX-87131112
ESTV_17611_91,AX-87579072
GCR_cBin16836_Ctg1_207,AX-86993323
GCR_hBin33809_Ctg1_106,AX-87638964
GCR_cBin5359_Ctg1_235,AX-87687078
ESTNV_35628_2851,AX-87339220
GCR_cBin10989_Ctg1_229,AX-87095105
ESTNV_33681_845,AX-87190158
ESTNV_33681_253,AX-87341936
ESTNV_33681_102,AX-87474117
GCR_cBin1994_Ctg1_194,AX-87344257
GCR_cBin40462_Ctg1_82,AX-87527862
GCR_cBin25322_Ctg1_126,AX-87037102
GCR_hBin15783_Ctg1_208,AX-87822793
GCR_cBin26092_Ctg1_726,AX-87021353
GCR_cBin648_Ctg1_216,AX-86911818
ESTNV_35028_2775,AX-87455401
ESTNV_36002_1472,AX-87372953
GCR_hBin32294_Ctg1_368,AX-87600352
GCR_cBin12660_Ctg1_400,AX-87703909
ESTV_15919_533,AX-87368868
ESTNV_35278_946,AX-87647854
ESTNV_28961_1146,AX-87682802
ESTNV_35598_1331,AX-87172831
ESTNV_36208_198,AX-87868989
ESTNV_37578_351,AX-87239163
ESTNV_29224_109,AX-87437499
GCR_cBin9099_Ctg1_77,AX-87230406
GCR_cBin32127_Ctg1_234,AX-87763359
ESTNV_29967_108,AX-87105937
ESTNV_37086_1437,AX-87707512
GCR_cBin35219_Ctg1_92,AX-87538638
ESTNV_25964_603,AX-87399961
ESTNV_35823_463,AX-87847789
ESTV_17356_357,AX-87233718
ESTNV_33831_1688,AX-87769916
ESTNV_33883_881,AX-87091960
GCR_cBin13956_Ctg1_331,AX-87841707
ESTNV_28034_927,AX-87183630
GCR_cBin14009_Ctg1_349,AX-87401622
GCR_cBin41483_Ctg1_31,AX-87493478
ESTNV_13522_223,AX-87355638
ESTNV_35215_1505,AX-87446675
ESTNV_26105_313,AX-87721977
ESTV_18550_697,AX-87303974
GCR_cBin28975_Ctg1_226,AX-87342654
GCR_cBin16618_Ctg1_172,AX-86967528
ESTNV_37714_614,AX-87816402
ESTNV_33326_1277,AX-87390924
ESTNV_33441_1110,AX-87589598
GCR_cBin9266_Ctg1_190,AX-87594485
ESTNV_34329_84,AX-87018695
ESTV_16457_125,AX-86945360
ESTNV_34747_156,AX-87229132
ESTNV_33585_792,AX-87248815
ESTNV_25792_446,AX-87307618
ESTV_17222_301,AX-87105721
ESTV_13197_590,AX-86916270
GCR_cBin13983_Ctg1_109,AX-87047776
ESTNV_35108_1142,AX-87707025
GCR_cBin44414_Ctg1_294,AX-87199865
GCR_cBin25027_Ctg1_137,AX-87061021
ESTV_21094_315,AX-86976297
ESTV_21099_340,AX-87606624
ESTNV_33690_1507,AX-86943387
ESTV_15686_402,AX-87007617
ESTV_15686_55,AX-87857819
ESTV_16314_73,AX-87428777
ESTNV_36524_1240,AX-87823127
GCR_cBin50051_Ctg1_174,AX-87017282
ESTNV_31573_316,AX-87746164
ESTNV_31573_185,AX-87452626
ESTNV_18264_285,AX-87846577
ESTNV_36929_2048,AX-87549321
ESTNV_34414_179,AX-87190987
ESTNV_36426_226,AX-87130560
GCR_cBin10764_Ctg1_187,AX-87373675
ESTNV_36091_279,AX-87428056
GCR_cBin30765_Ctg1_154,AX-87672900
ESTNV_22452_442,AX-87735782
ESTNV_35624_1153,AX-87767560
GCR_cBin7930_Ctg1_81,AX-87643522
ESTV_16294_244,AX-87682549
ESTNV_36417_1554,AX-87221972
ESTNV_25020_891,AX-87869352
GCR_cBin42482_Ctg1_198,AX-87229642
ESTNV_32815_1072,AX-87837005
GCR_cBin1028_Ctg1_247,AX-87395118
ESTV_15765_1661,AX-87462821
ESTNV_35674_638,AX-87353019
ESTNV_21396_116,AX-87734916
ESTNV_35329_232,AX-87670457
ESTNV_12926_381,AX-87320752
ESTNV_37628_1144,AX-87349188
ESTV_15139_351,AX-87841335
ESTNV_33570_1563,AX-87677494
ESTNV_15175_311,AX-87438391
ESTNV_37138_2049,AX-86912484
ESTNV_27092_253,AX-87808928
ESTNV_36855_1230,AX-87299148
ESTNV_32735_540,AX-87646452
GCR_hBin8661_Ctg1_148,AX-87717452
GCR_cBin2027_Ctg1_109,AX-87220877
GCR_cBin8441_Ctg1_226,AX-87534950
GCR_cBin11710_Ctg1_151,AX-87609374
ESTV_20751_555,AX-87092364
GCR_cBin628_Ctg1_209,AX-87767037
ESTV_17239_209,AX-87100741
ESTV_17239_1531,AX-87236129
GCR_cBin8358_Ctg1_66,AX-87280450
ESTNV_27471_81,AX-87279695
ESTNV_32124_500,AX-87639967
GCR_cBin24946_Ctg1_79,AX-86977085
ESTNV_33409_863,AX-87459754
GCR_cBin26183_Ctg1_163,AX-87523649
GCR_cBin11089_Ctg1_173,AX-87149922
GCR_cBin40765_Ctg1_281,AX-87346223
ESTV_14471_319,AX-86976618
ESTV_13623_559,AX-87156816
ESTV_13623_479,AX-86992105
GCR_cBin2536_Ctg1_238,AX-87192121
ESTNV_18554_407,AX-87540925
GCR_cBin30134_Ctg1_231,AX-87251755
GCR_cBin30809_Ctg1_814,AX-87655718
ESTNV_34939_645,AX-87504575
GCR_cBin27882_Ctg1_116,AX-87264653
GCR_cBin51403_Ctg1_182,AX-87250920
ESTNV_35219_276,AX-87753405
GCR_cBin4279_Ctg1_224,AX-87758195
GCR_cBin14353_Ctg1_109,AX-86941429
ESTNV_30861_483,AX-87619089
GCR_cBin33114_Ctg1_92,AX-87853661
ESTNV_31115_754,AX-87335945
GCR_cBin28906_Ctg1_149,AX-87540483
ESTNV_22319_435,AX-87788423
ESTV_14466_336,AX-87241200
GCR_cBin27811_Ctg1_208,AX-87008792
ESTNV_29795_449,AX-87040441
ESTNV_26306_372,AX-87524078
ESTNV_36341_652,AX-87384591
ESTV_16768_432,AX-87772550
ESTNV_35339_181,AX-87253152
GCR_cBin16616_Ctg1_227,AX-87836418
ESTNV_25889_239,AX-87500386
ESTV_15603_406,AX-87132588
GCR_cBin37860_Ctg1_229,AX-87435066
ESTNV_25399_259,AX-87620854
ESTNV_33724_698,AX-87748577
ESTNV_37358_2427,AX-86964213
ESTNV_32333_532,AX-87019953
ESTNV_34377_715,AX-87006871
ESTNV_28909_653,AX-87215743
ESTNV_30897_1543,AX-87445431
ESTNV_30897_1203,AX-87331918
BASS124_B7_D10_265,AX-87659726
ESTNV_29683_317,AX-87836786
ESTNV_29683_508,AX-86993874
ESTNV_32051_1570,AX-87073823
ESTV_13831_59,AX-87483673
ESTNV_32044_621,AX-87027114
ESTV_18022_968,AX-87396963
ESTV_16776_131,AX-87002650
ESTNV_35314_130,AX-87715838
ESTNV_35947_1630,AX-87534250
ESTNV_36692_1678,AX-87225273
ESTNV_36692_1354,AX-87470467
ESTNV_35022_52,AX-87169308
ESTNV_33858_1307,AX-87530127
ESTNV_26487_583,AX-87697572
ESTNV_36248_934,AX-87514248
AY388587_a,AX-87686497
ESTV_17301_308,AX-87027123
GCR_cBin48923_Ctg1_210,AX-87860575
GCR_cBin31216_Ctg1_247,AX-87821391
GCR_cBin26424_Ctg1_136,AX-87261703
ESTNV_32455_522,AX-86907949
BASS112_B7_F10_649,AX-87589784
ESTNV_34271_1306,AX-87496752
GCR_cBin51998_Ctg1_185,AX-87766946
ESTNV_35287_375,AX-87378321
ESTNV_36925_2643,AX-87861978
ESTNV_32810_1998,AX-87031439
ESTV_17790_535,AX-87365445
ESTNV_32793_401,AX-87458437
ESTNV_29361_89,AX-87040661
ESTNV_34827_121,AX-87078342
ESTV_20675_499,AX-87685459
ESTNV_28966_1171,AX-87765099
GCR_cBin29470_Ctg1_217,AX-86999330
GCR_cBin42387_Ctg1_56,AX-87569612
GCR_cBin1560_Ctg1_465,AX-87710974
AY388591_a,AX-86939678
GCR_cBin19394_Ctg1_156,AX-87370972
ESTNV_35927_502,AX-87535918
GCR_cBin2649_Ctg1_378,AX-87134781
GCR_cBin35467_Ctg1_102,AX-87120648
GCR_cBin35467_Ctg1_136,AX-87820218
ESTNV_33780_777,AX-87585013
ESTNV_35660_1486,AX-87752934
ESTV_20796_1211,AX-87011534
